agency,recovered_cars_perc,recovered_cars_total,recovered_total_stolen_cars,arrest_pct,arrest_total,arrest_total_car_thefts
22nd Jud Dist Multijurisdictional Drug Task Force,0,0,0,0,0,0
7th Judicial District Drug Task Force,0,0,0,0,0,0
Adams County Sheriff's Office,77.68447383,4348,5597,17.78911565,1046,5880
Adams State University Police Department,62.5,5,8,25,2,8
Aims Community College Police Department,100,1,1,100,1,1
Alamosa County Sheriff's Office,20,3,15,12.5,2,16
Alamosa Police Department,46.15384615,78,169,26.47058824,45,170
All Crimes Enforcement Team,0,0,0,0,0,0
Alma Police Department,0,0,0,0,0,0
Arapahoe Community College Campus Police Department,0,0,3,33.33333333,1,3
Arapahoe County Sheriff's Office,80.98765432,1968,2430,2.370003537,67,2827
Archuleta County Sheriff's Office,31.57894737,12,38,17.94871795,7,39
Arvada Police Department,83.90334572,2257,2690,3.194103194,104,3256
Aspen Police Department,51.28205128,20,39,22.5,9,40
Ault Police Department,0,0,1,100,1,1
Auraria Campus Police Department,37.20930233,16,43,12.96296296,7,54
Aurora Police Department,84.03380539,14716,17512,4.047242538,819,20236
Avon Police Department,68.08510638,32,47,16.66666667,8,48
Baca County Sheriff's Office,75,3,4,75,3,4
Basalt Police Department,20,1,5,20,1,5
Bayfield Marshal's Office,40,8,20,25,5,20
Bent County Sheriff's Office,40,24,60,10,6,60
Berthoud Police Department - Retired,0,0,0,0,0,0
Black Hawk Police Department,40.69767442,35,86,28.40909091,25,88
Blue River Police Department,0,0,0,0,0,0
Boulder County Sheriff's Office,75.63739377,267,353,14.69072165,57,388
Boulder Police Department,82.64938805,1148,1389,8.333333333,124,1488
Bow Mar Police Department,57.14285714,4,7,14.28571429,1,7
Breckenridge Police Department,38.0952381,16,42,23.80952381,10,42
Brighton Police Department,74.09326425,858,1158,7.86163522,100,1272
Broomfield Police Department,50.73848827,584,1151,8.610709117,119,1382
Brush Police Department,37.03703704,10,27,37.03703704,10,27
Buena Vista Police Department,6.666666667,1,15,33.33333333,5,15
Burlington Police Department,85.29411765,29,34,38.23529412,13,34
Calhan Police Department,50,2,4,25,1,4
Campo Police Department,0,0,0,0,0,0
Canon City Police Department,38.03278689,116,305,18.84984026,59,313
Carbondale Police Department,66.66666667,12,18,38.88888889,7,18
Castle Rock Police Department,79.11227154,303,383,12.25,49,400
Cedaredge Police Department,0,0,2,50,1,2
Centennial Police Department,83.08423913,1223,1472,2.23660977,38,1699
Center Police Department,58.82352941,10,17,29.41176471,5,17
Central City Police Department,0,0,0,0,0,0
Chaffee County Sheriff's Office,18.03278689,11,61,29.03225806,18,62
Cherry Hills Village Police Department,2.222222222,1,45,0,0,46
Cheyenne County Sheriff's Office,0,0,4,75,3,4
Clear Creek County Sheriff's Office,17.07317073,7,41,14.63414634,6,41
Collbran Marshal's Office,0,0,0,0,0,0
Colorado,70.57045687,104373,147899,9.657425296,15846,164081
Colorado Bureau Of Investigation,0,0,1,100,1,1
Colorado Bureau Of Investigation (Testing Ori),0,0,0,0,0,0
Colorado Department of Corrections - Colorado Springs,0,0,0,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Central City,0,0,0,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Cripple Creek,0,0,0,100,1,1
Colorado Division of Gaming Crim Enf Inv Section Golden,0,0,0,0,0,0
Colorado Mental Health Institute,0,0,0,0,0,0
Colorado Parks and Wildlife Law Enforcement,0,0,0,0,0,0
Colorado School of Mines Police Department,40,6,15,0,0,18
Colorado Springs Police Department,64.77022516,9119,14079,14.76106911,2187,14816
Colorado State University Police Department - Fort Collins,52.77777778,19,36,,,
Colorado State University-Pueblo,0,0,0,,,
Columbine Valley Police Department,57.14285714,4,7,,,
Commerce City Police Department,58.25009988,1458,2503,,,
Conejos County Sheriff's Office,0,0,11,,,
Cortez Police Department,21.50537634,20,93,,,
Costilla County Sheriff's Office,0,0,0,,,
Craig Police Department,62.90322581,39,62,,,
Crested Butte Police Department,100,2,2,,,
Cripple Creek Police Department,56.52173913,13,23,,,
Crowley County Sheriff's Office,40,12,30,,,
Colorado State Patrol,64.36781609,56,87,89.8989899,89,99
Custer County Sheriff's Office,79.06976744,34,43,69.76744186,30,43
Dacono Police Department,56.16438356,41,73,10.95890411,8,73
De Beque Marshal's Office,0,0,0,0,0,0
Del Norte Police Department,20,1,5,60,3,5
Delta County Sheriff's Office,52.13675214,61,117,17.94871795,21,117
Delta Police Department,58.13953488,100,172,16.86046512,29,172
Denver Police Department,74.81066344,29634,39612,8.259548038,3750,45402
Department of Criminal Justice,0,0,0,0,0,0
Dillon Police Department,15,3,20,15,3,20
Dinosaur Police Department,0,0,0,0,0,0
Division of Wildlife Denver,0,0,0,0,0,0
Dolores County Sheriff's Office,35,7,20,35,7,20
Douglas County Sheriff's Office,41.78743961,692,1656,22.72986865,398,1751
Durango Police Department,55.09259259,119,216,35.48387097,77,217
Eagle County Sheriff's Office,31.42857143,22,70,16.66666667,12,72
Eagle Police Department,55.88235294,19,34,5.555555556,2,36
Eaton Police Department,45,18,40,30,12,40
Edgewater Police Department,84.28571429,236,280,1.986754967,6,302
El Paso County Sheriff's Office,47.13947991,997,2115,21.69287697,469,2162
Elbert County Sheriff's Office,18.75,3,16,87.5,14,16
Elizabeth Police Department,22.22222222,2,9,11.11111111,1,9
Empire Police Department,0,0,4,14.28571429,1,7
Englewood Police Department,70.94726563,1453,2048,5.48541576,126,2297
Erie Police Department,73.23943662,104,142,23.52941176,36,153
Estes Park Police Department,33.33333333,5,15,20,3,15
Evans Police Deparment,77.46478873,385,497,22.35528942,112,501
Fairplay Police Department,75,3,4,0,0,4
Federal Heights Police Department,63.60856269,208,327,8.746355685,30,343
Firestone Police Department,44.86486486,83,185,7.567567568,14,185
Florence Police Department,17.39130435,8,46,54.34782609,25,46
Fort Collins Police Department,82.90598291,1164,1404,19.5622435,286,1462
Fort Lewis State College Police Department,100,1,1,0,0,1
Fort Lupton Police Department,45.6043956,83,182,11.51832461,22,191
Fort Morgan Police Department,66.66666667,114,171,19.7740113,35,177
Fountain Police Department,56.25,288,512,17.85028791,93,521
Fowler Police Department,0,0,9,55.55555556,5,9
Fraser_Winter Park Police Department,42.85714286,9,21,30.43478261,7,23
Frederick Police Department,51.11111111,23,45,6.52173913,3,46
Fremont County Sheriff's Office,31.68316832,64,202,15.34653465,31,202
Frisco Police Department,29.23076923,19,65,21.21212121,14,66
Fruita Police Department,72.91666667,35,48,16.66666667,8,48
Garden City Police Department,76.92307692,10,13,23.07692308,3,13
Garfield County Sheriff's Office,54.79452055,80,146,19.46308725,29,149
Georgetown Police Department,0,0,16,12.5,2,16
Gilcrest Police Department,0,0,0,0,0,0
Gilpin County Sheriff's Office,70,35,50,23.63636364,13,55
Glendale Police Department,91.50227618,603,659,10.71428571,81,756
Glenwood Springs Police Department,74.07407407,100,135,31.42857143,44,140
Golden Police Department,81.44044321,294,361,5.741626794,24,418
Granada Police Department,50,1,2,0,0,3
Granby Police Department,72.72727273,8,11,45.45454545,5,11
Grand County Sheriff's Office,16.66666667,2,12,8.333333333,1,12
Grand Junction Police Department,63.38259442,772,1218,25.62651576,317,1237
Greeley Police Department,89.02753873,2069,2324,16.95342006,404,2383
Green Mountain Falls Marshal's Office,0,0,1,0,0,1
Greenwood Village Police Department,27.5862069,112,406,9.76744186,42,430
Gunnison County Sheriff's Office,52.63157895,10,19,42.10526316,8,19
Gunnison Police Department,73.21428571,41,56,37.5,21,56
Gypsum Police Department,20,5,25,3.846153846,1,26
Haxtun Police Department,0,0,2,0,0,2
Hayden Police Department,50,5,10,30,3,10
Hinsdale County Sheriff's Office,0,0,2,0,0,2
Holyoke Police Department,0,0,4,75,3,4
Hotchkiss Police Department,75,6,8,12.5,1,8
Hudson Police Department,50,21,42,13.7254902,7,51
Huerfano County Sheriff's Office,31.25,35,112,20.53571429,23,112
Hugo Marshal's Office,55.55555556,5,9,44.44444444,4,9
Idaho Springs Police Department,35.29411765,18,51,11.76470588,6,51
Ignacio Police Department,0,0,5,20,1,5
Jackson County Sheriff's Office,40,2,5,20,1,5
Jefferson County Sheriff's Office,35.90844063,753,2097,5.030094583,117,2326
Johnstown Police Department,33.5,67,200,16.34615385,34,208
Keenesburg Police Department,0,0,6,0,0,7
Kersey Police Department,14.28571429,2,14,0,0,14
Kiowa County Sheriff's Office,80,4,5,20,1,5
Kiowa Police Department,0,0,0,0,0,0
Kit Carson County Sheriff's Office,73.33333333,22,30,38.70967742,12,31
Kremmling Police Department,44.44444444,4,9,10,1,10
La Junta Police Department,48.87218045,65,133,22.22222222,30,135
La Plata County Sheriff's Office,34.7826087,40,115,16.52173913,19,115
La Salle Police Department,31.81818182,14,44,4.444444444,2,45
La Veta Marshal's Office,0,0,0,0,0,0
Lafayette Police Department,84.42622951,309,366,14.32160804,57,398
Lake County Sheriff's Office,25,5,20,15,3,20
Lakeside Police Department,55.55555556,5,9,55.55555556,5,9
Lakewood Police Department,68.55385586,4347,6341,5.451608561,405,7429
Lamar Police Department,40,4,10,30,3,10
Larimer County Sheriff's Office,61.11111111,407,666,26.72540382,182,681
Las Animas County Sheriff's Office,73.52941176,25,34,23.52941176,8,34
Las Animas Police Department - Retired,0,0,0,0,0,0
Leadville Police Department,46.66666667,7,15,20,3,15
Limon Police Department,100,10,10,100,10,10
Lincoln County Sheriff's Office,7.692307692,2,26,51.85185185,14,27
Littleton Police Department,63.16211878,787,1246,3.410740203,47,1378
Lochbuie Police Department,0,0,15,0,0,16
Log Lane Village Marshal's Office,83.33333333,5,6,33.33333333,2,6
Logan County Sheriff's Office,57.42574257,58,101,29.80769231,31,104
Lone Tree Police Department,74.66063348,165,221,11.72161172,32,273
Longmont Department of Public Safety,70.99069513,1297,1827,12.14953271,234,1926
Louisville Police Department,65,143,220,26.95652174,62,230
Loveland Police Department,83.46883469,616,738,8.505154639,66,776
Mancos Marshal's Office,0,0,8,0,0,8
Manitou Springs Police Department,20.51282051,16,78,10.256410259999999,8,78
Manzanola Police Department,0,0,0,0,0,0
Mead Police Department,35.48387097,11,31,12.90322581,4,31
Meeker Police Department,33.33333333,5,15,13.33333333,2,15
Mesa County Sheriff's Office,58.42044135,503,861,21.4695752,187,871
Milliken Police Department,46.42857143,13,28,21.42857143,6,28
Mineral County Sheriff's Office,0,0,0,0,0,0
Minturn Police Department,0,0,0,0,0,0
Moffat County Sheriff's Office,60,12,20,35,7,20
Monte Vista Police Department,64.86486486,24,37,56.75675676,21,37
Montezuma County Sheriff's Office,67.25663717,76,113,28.69565217,33,115
Montrose County Sheriff's Office,56.93430657,78,137,31.38686131,43,137
Montrose Police Department,58.14696486,182,313,18.15286624,57,314
Monument Police Department,42.55319149,20,47,8,4,50
Morgan County Sheriff's Office,50.46728972,54,107,25,27,108
Morrison Police Department,0,0,0,0,0,0
Mountain View Police Department,27.27272727,3,11,8.333333333,1,12
Mountain Village Police Department,100,7,7,57.14285714,4,7
Mt Crested Butte Police Department,0,0,2,50,1,2
Nederland Police Department,42.85714286,3,7,62.5,5,8
New Castle Police Department,25,6,24,20.83333333,5,24
Northern Colorado Drug Task Force,0,0,0,0,0,0
Northglenn Police Department,65.93939394,1088,1650,7.131367292,133,1865
Nunn Police Department,0,0,0,0,0,0
Oak Creek Police Department,100,4,4,50,2,4
Olathe Police Department,42.85714286,3,7,57.14285714,4,7
Otero County Sheriff's Office,48.48484848,48,99,34.34343434,34,99
Ouray County Sheriff's Office,33.33333333,4,12,25,3,12
Ouray Police Department,25,1,4,0,0,4
Pagosa Springs Police Department,75,9,12,41.66666667,5,12
Palisade Police Department,69.23076923,9,13,7.692307692,1,13
Palmer Lake Police Department,0,0,0,0,0,0
Paonia Police Department,0,0,0,0,0,0
Parachute Police Department,55.88235294,19,34,42.85714286,15,35
Park County Sheriff's Office,7.142857143,3,42,27.90697674,12,43
Parker Police Department,80.79207921,408,505,4.355716878,24,551
Phillips County Sheriff's Office,42.85714286,3,7,42.85714286,3,7
Pikes Peak State College Police Department,100,1,1,0,0,1
Pitkin County Sheriff's Office,26.66666667,4,15,20,3,15
Platteville Police Department,35,21,60,1.666666667,1,60
Prowers County Sheriff's Office,88.88888889,16,18,72.22222222,13,18
Pueblo County Sheriff's Office,45.52486188,412,905,9.050772627,82,906
Pueblo Police Department,67.66321913,4187,6188,8.351648352,532,6370
Rangely Police Department,100,2,2,100,2,2
Red Rocks Community College Campus Police Department,33.33333333,2,6,0,0,6
Ridgway Marshal's Office,0,0,0,0,0,0
Rifle Police Department,40.39735099,61,151,24.18300654,37,153
Rio Blanco County Sheriff's Office,60,3,5,100,5,5
Rio Grande County Sheriff's Office,57.89473684,11,19,20,4,20
Rocky Ford Police Department,27.27272727,3,11,27.27272727,3,11
Routt County Sheriff's Office,66.66666667,16,24,37.5,9,24
Saguache County Sheriff's Office,0,0,2,25,1,4
Salida Police Department,69.6969697,46,66,30.3030303,20,66
San Juan County Sheriff's Office,25,2,8,50,4,8
San Miguel County Sheriff's Office,25,2,8,62.5,5,8
Sanford Police Department,0,0,0,0,0,0
Sedgwick County Sheriff's Office,14.28571429,1,7,14.28571429,1,7
Severance Police Department,30.76923077,4,13,7.692307692,1,13
Sheridan Police Department,7.720588235,42,544,8.904109589,52,584
Silt Police Department,0,0,20,25,5,20
Silverthorne Police Department,26.31578947,20,76,6.578947368,5,76
Simla Police Department,25,1,4,0,0,4
Snowmass Village Police Department,50,1,2,0,0,2
South Fork Police Department,0,0,8,0,0,8
South Metro Drug Task Force - Retired,0,0,0,0,0,0
Southern Ute Tribal Police Department,75,6,8,25,2,8
Southwest Drug Task Force,0,0,0,0,0,0
Springfield Police Department,50,2,4,50,2,4
Steamboat Springs Police Department,80.64516129,50,62,22.22222222,14,63
Sterling Police Department,77.05882353,131,170,35.59322034,63,177
Stratton Marshal's Office,0,0,0,0,0,0
Summit County Drug Task Force - Retired 110211,0,0,0,0,0,0
Summit County Sheriff's Office,21.59090909,19,88,27.27272727,24,88
Teller County Sheriff's Office,13.20754717,7,53,29.09090909,16,55
Telluride Marshal's Office,66.66666667,2,3,0,0,3
Thornton Police Department,83.56381773,3686,4411,5.007980846,251,5012
Timnath Police Department,47.61904762,10,21,42.85714286,9,21
Trinidad Police Department`,28,35,125,16.66666667,21,126
Two Rivers Drug Enforcement Team,0,0,0,0,0,0
University of Colorado - Boulder Police Department,68.33333333,41,60,16.92307692,11,65
University of Colorado - Colorado Springs Police Department,72.22222222,13,18,10.52631579,2,19
University of Colorado - Denver Police Department,0,0,0,0,0,0
University of Colorado Anschutz Medical Campus - Denver Police Department,76.76056338,109,142,4.225352113,9,213
University of Northern Colorado Police Department,35,7,20,16,4,25
US Postal Inspection Service,0,0,0,0,0,0
Vail Police Department,43.75,28,64,45.58823529,31,68
Victor Police Department - Retired,0,0,0,0,0,0
Walsenburg Police Department,0,0,0,0,0,0
Walsh Police Department,0,0,0,0,0,0
Washington County Sheriff's Office,36.66666667,22,60,10,6,60
Weld County Drug Task Force,0,0,0,0,0,0
Weld County Sheriff's Office,75.28957529,585,777,16.23296159,131,807
Westminster Police Department,70.58946053,3389,4801,5.548363233,300,5407
Wheat Ridge Police Department,23.85557705,370,1551,7.073030477,123,1739
Wiggins Police Department,55.55555556,5,9,22.22222222,2,9
Windsor Police Department,64.61538462,42,65,7.352941176,5,68
Woodland Park Police Department,45.71428571,16,35,33.33333333,12,36
Wray Police Department,100,1,1,100,1,1
Yuma County Sheriff's Office,46.875,15,32,9.375,3,32
Yuma Police Department,0,0,22,0,0,23
