agency,recovered_cars_perc,recovered_cars_total,recovered_total_stolen_cars
22nd Jud Dist Multijurisdictional Drug Task Force,0,0,0
7th Judicial District Drug Task Force,0,0,0
Adams County Sheriff's Office,77.68447383,"4,348","5,597"
Adams State University Police Department,62.5,5,8
Aims Community College Police Department,100,1,1
Alamosa County Sheriff's Office,20,3,15
Alamosa Police Department,46.15384615,78,169
All Crimes Enforcement Team,0,0,0
Alma Police Department,0,0,0
Arapahoe Community College Campus Police Department,0,0,3
Arapahoe County Sheriff's Office,80.98765432,"1,968","2,430"
Archuleta County Sheriff's Office,31.57894737,12,38
Arvada Police Department,83.90334572,"2,257","2,690"
Aspen Police Department,51.28205128,20,39
Ault Police Department,0,0,1
Auraria Campus Police Department,37.20930233,16,43
Aurora Police Department,84.03380539,"14,716","17,512"
Avon Police Department,68.08510638,32,47
Baca County Sheriff's Office,75,3,4
Basalt Police Department,20,1,5
Bayfield Marshal's Office,40,8,20
Bent County Sheriff's Office,40,24,60
Berthoud Police Department - Retired,0,0,0
Black Hawk Police Department,40.69767442,35,86
Blue River Police Department,0,0,0
Boulder County Sheriff's Office,75.63739377,267,353
Boulder Police Department,82.64938805,"1,148","1,389"
Bow Mar Police Department,57.14285714,4,7
Breckenridge Police Department,38.0952381,16,42
Brighton Police Department,74.09326425,858,"1,158"
Broomfield Police Department,50.73848827,584,"1,151"
Brush Police Department,37.03703704,10,27
Buena Vista Police Department,6.666666667,1,15
Burlington Police Department,85.29411765,29,34
Calhan Police Department,50,2,4
Campo Police Department,0,0,0
Canon City Police Department,38.03278689,116,305
Carbondale Police Department,66.66666667,12,18
Castle Rock Police Department,79.11227154,303,383
Cedaredge Police Department,0,0,2
Centennial Police Department,83.08423913,"1,223","1,472"
Center Police Department,58.82352941,10,17
Central City Police Department,0,0,0
Chaffee County Sheriff's Office,18.03278689,11,61
Cherry Hills Village Police Department,2.222222222,1,45
Cheyenne County Sheriff's Office,0,0,4
Clear Creek County Sheriff's Office,17.07317073,7,41
Collbran Marshal's Office,0,0,0
Colorado,70.57045687,"104,373","147,899"
Colorado Bureau Of Investigation,0,0,1
Colorado Bureau Of Investigation (Testing Ori),0,0,0
Colorado Department of Corrections - Colorado Springs,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Central City,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Cripple Creek,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Golden,0,0,0
Colorado Mental Health Institute,0,0,0
Colorado Parks and Wildlife Law Enforcement,0,0,0
Colorado School of Mines Police Department,40,6,15
Colorado Springs Police Department,64.77022516,"9,119","14,079"
Colorado State University Police Department - Fort Collins,52.77777778,19,36
Colorado State University-Pueblo,0,0,0
Columbine Valley Police Department,57.14285714,4,7
Commerce City Police Department,58.25009988,"1,458","2,503"
Conejos County Sheriff's Office,0,0,11
Cortez Police Department,21.50537634,20,93
Costilla County Sheriff's Office,0,0,0
Craig Police Department,62.90322581,39,62
Crested Butte Police Department,100,2,2
Cripple Creek Police Department,56.52173913,13,23
Crowley County Sheriff's Office,40,12,30
Colorado State Patrol,64.36781609,56,87
Custer County Sheriff's Office,79.06976744,34,43
Dacono Police Department,56.16438356,41,73
De Beque Marshal's Office,0,0,0
Del Norte Police Department,20,1,5
Delta County Sheriff's Office,52.13675214,61,117
Delta Police Department,58.13953488,100,172
Denver Police Department,74.81066344,"29,634","39,612"
Department of Criminal Justice,0,0,0
Dillon Police Department,15,3,20
Dinosaur Police Department,0,0,0
Division of Wildlife Denver,0,0,0
Dolores County Sheriff's Office,35,7,20
Douglas County Sheriff's Office,41.78743961,692,"1,656"
Durango Police Department,55.09259259,119,216
Eagle County Sheriff's Office,31.42857143,22,70
Eagle Police Department,55.88235294,19,34
Eaton Police Department,45,18,40
Edgewater Police Department,84.28571429,236,280
El Paso County Sheriff's Office,47.13947991,997,"2,115"
Elbert County Sheriff's Office,18.75,3,16
Elizabeth Police Department,22.22222222,2,9
Empire Police Department,0,0,4
Englewood Police Department,70.94726563,"1,453","2,048"
Erie Police Department,73.23943662,104,142
Estes Park Police Department,33.33333333,5,15
Evans Police Deparment,77.46478873,385,497
Fairplay Police Department,75,3,4
Federal Heights Police Department,63.60856269,208,327
Firestone Police Department,44.86486486,83,185
Florence Police Department,17.39130435,8,46
Fort Collins Police Department,82.90598291,"1,164","1,404"
Fort Lewis State College Police Department,100,1,1
Fort Lupton Police Department,45.6043956,83,182
Fort Morgan Police Department,66.66666667,114,171
Fountain Police Department,56.25,288,512
Fowler Police Department,0,0,9
Fraser_Winter Park Police Department,42.85714286,9,21
Frederick Police Department,51.11111111,23,45
Fremont County Sheriff's Office,31.68316832,64,202
Frisco Police Department,29.23076923,19,65
Fruita Police Department,72.91666667,35,48
Garden City Police Department,76.92307692,10,13
Garfield County Sheriff's Office,54.79452055,80,146
Georgetown Police Department,0,0,16
Gilcrest Police Department,0,0,0
Gilpin County Sheriff's Office,70,35,50
Glendale Police Department,91.50227618,603,659
Glenwood Springs Police Department,74.07407407,100,135
Golden Police Department,81.44044321,294,361
Granada Police Department,50,1,2
Granby Police Department,72.72727273,8,11
Grand County Sheriff's Office,16.66666667,2,12
Grand Junction Police Department,63.38259442,772,"1,218"
Greeley Police Department,89.02753873,"2,069","2,324"
Green Mountain Falls Marshal's Office,0,0,1
Greenwood Village Police Department,27.5862069,112,406
Gunnison County Sheriff's Office,52.63157895,10,19
Gunnison Police Department,73.21428571,41,56
Gypsum Police Department,20,5,25
Haxtun Police Department,0,0,2
Hayden Police Department,50,5,10
Hinsdale County Sheriff's Office,0,0,2
Holyoke Police Department,0,0,4
Hotchkiss Police Department,75,6,8
Hudson Police Department,50,21,42
Huerfano County Sheriff's Office,31.25,35,112
Hugo Marshal's Office,55.55555556,5,9
Idaho Springs Police Department,35.29411765,18,51
Ignacio Police Department,0,0,5
Jackson County Sheriff's Office,40,2,5
Jefferson County Sheriff's Office,35.90844063,753,"2,097"
Johnstown Police Department,33.5,67,200
Keenesburg Police Department,0,0,6
Kersey Police Department,14.28571429,2,14
Kiowa County Sheriff's Office,80,4,5
Kiowa Police Department,0,0,0
Kit Carson County Sheriff's Office,73.33333333,22,30
Kremmling Police Department,44.44444444,4,9
La Junta Police Department,48.87218045,65,133
La Plata County Sheriff's Office,34.7826087,40,115
La Salle Police Department,31.81818182,14,44
La Veta Marshal's Office,0,0,0
Lafayette Police Department,84.42622951,309,366
Lake County Sheriff's Office,25,5,20
Lakeside Police Department,55.55555556,5,9
Lakewood Police Department,68.55385586,"4,347","6,341"
Lamar Police Department,40,4,10
Larimer County Sheriff's Office,61.11111111,407,666
Las Animas County Sheriff's Office,73.52941176,25,34
Las Animas Police Department - Retired,0,0,0
Leadville Police Department,46.66666667,7,15
Limon Police Department,100,10,10
Lincoln County Sheriff's Office,7.692307692,2,26
Littleton Police Department,63.16211878,787,"1,246"
Lochbuie Police Department,0,0,15
Log Lane Village Marshal's Office,83.33333333,5,6
Logan County Sheriff's Office,57.42574257,58,101
Lone Tree Police Department,74.66063348,165,221
Longmont Department of Public Safety,70.99069513,"1,297","1,827"
Louisville Police Department,65,143,220
Loveland Police Department,83.46883469,616,738
Mancos Marshal's Office,0,0,8
Manitou Springs Police Department,20.51282051,16,78
Manzanola Police Department,0,0,0
Mead Police Department,35.48387097,11,31
Meeker Police Department,33.33333333,5,15
Mesa County Sheriff's Office,58.42044135,503,861
Milliken Police Department,46.42857143,13,28
Mineral County Sheriff's Office,0,0,0
Minturn Police Department,0,0,0
Moffat County Sheriff's Office,60,12,20
Monte Vista Police Department,64.86486486,24,37
Montezuma County Sheriff's Office,67.25663717,76,113
Montrose County Sheriff's Office,56.93430657,78,137
Montrose Police Department,58.14696486,182,313
Monument Police Department,42.55319149,20,47
Morgan County Sheriff's Office,50.46728972,54,107
Morrison Police Department,0,0,0
Mountain View Police Department,27.27272727,3,11
Mountain Village Police Department,100,7,7
Mt Crested Butte Police Department,0,0,2
Nederland Police Department,42.85714286,3,7
New Castle Police Department,25,6,24
Northern Colorado Drug Task Force,0,0,0
Northglenn Police Department,65.93939394,"1,088","1,650"
Nunn Police Department,0,0,0
Oak Creek Police Department,100,4,4
Olathe Police Department,42.85714286,3,7
Otero County Sheriff's Office,48.48484848,48,99
Ouray County Sheriff's Office,33.33333333,4,12
Ouray Police Department,25,1,4
Pagosa Springs Police Department,75,9,12
Palisade Police Department,69.23076923,9,13
Palmer Lake Police Department,0,0,0
Paonia Police Department,0,0,0
Parachute Police Department,55.88235294,19,34
Park County Sheriff's Office,7.142857143,3,42
Parker Police Department,80.79207921,408,505
Phillips County Sheriff's Office,42.85714286,3,7
Pikes Peak State College Police Department,100,1,1
Pitkin County Sheriff's Office,26.66666667,4,15
Platteville Police Department,35,21,60
Prowers County Sheriff's Office,88.88888889,16,18
Pueblo County Sheriff's Office,45.52486188,412,905
Pueblo Police Department,67.66321913,"4,187","6,188"
Rangely Police Department,100,2,2
Red Rocks Community College Campus Police Department,33.33333333,2,6
Ridgway Marshal's Office,0,0,0
Rifle Police Department,40.39735099,61,151
Rio Blanco County Sheriff's Office,60,3,5
Rio Grande County Sheriff's Office,57.89473684,11,19
Rocky Ford Police Department,27.27272727,3,11
Routt County Sheriff's Office,66.66666667,16,24
Saguache County Sheriff's Office,0,0,2
Salida Police Department,69.6969697,46,66
San Juan County Sheriff's Office,25,2,8
San Miguel County Sheriff's Office,25,2,8
Sanford Police Department,0,0,0
Sedgwick County Sheriff's Office,14.28571429,1,7
Severance Police Department,30.76923077,4,13
Sheridan Police Department,7.720588235,42,544
Silt Police Department,0,0,20
Silverthorne Police Department,26.31578947,20,76
Simla Police Department,25,1,4
Snowmass Village Police Department,50,1,2
South Fork Police Department,0,0,8
South Metro Drug Task Force - Retired,0,0,0
Southern Ute Tribal Police Department,75,6,8
Southwest Drug Task Force,0,0,0
Springfield Police Department,50,2,4
Steamboat Springs Police Department,80.64516129,50,62
Sterling Police Department,77.05882353,131,170
Stratton Marshal's Office,0,0,0
Summit County Drug Task Force - Retired 110211,0,0,0
Summit County Sheriff's Office,21.59090909,19,88
Teller County Sheriff's Office,13.20754717,7,53
Telluride Marshal's Office,66.66666667,2,3
Thornton Police Department,83.56381773,"3,686","4,411"
Timnath Police Department,47.61904762,10,21
Trinidad Police Department`,28,35,125
Two Rivers Drug Enforcement Team,0,0,0
University of Colorado - Boulder Police Department,68.33333333,41,60
University of Colorado - Colorado Springs Police Department,72.22222222,13,18
University of Colorado - Denver Police Department,0,0,0
University of Colorado Anschutz Medical Campus - Denver Police Department,76.76056338,109,142
University of Northern Colorado Police Department,35,7,20
US Postal Inspection Service,0,0,0
Vail Police Department,43.75,28,64
Victor Police Department - Retired,0,0,0
Walsenburg Police Department,0,0,0
Walsh Police Department,0,0,0
Washington County Sheriff's Office,36.66666667,22,60
Weld County Drug Task Force,0,0,0
Weld County Sheriff's Office,75.28957529,585,777
Westminster Police Department,70.58946053,"3,389","4,801"
Wheat Ridge Police Department,23.85557705,370,"1,551"
Wiggins Police Department,55.55555556,5,9
Windsor Police Department,64.61538462,42,65
Woodland Park Police Department,45.71428571,16,35
Wray Police Department,100,1,1
Yuma County Sheriff's Office,46.875,15,32
Yuma Police Department,0,0,22
